"orig","new"
"APR:TOT CLR VHC THFT TOT","vhct.clr4"
"MAY:TOT CLR VHC THFT TOT","vhct.clr5"
"JUN: TOT CLR VHC THFT TOT","vhct.clr6"
"JUL: TOT CLR VHC THFT TOT","vhct.clr7"
"AUG: TOT CLR VHC THFT TOT","vhct.clr8"
"SEP: TOT CLR VHC THFT TO","vhct.clr9"
"OCT: TOT CLR VHC THFT TO","vhct.clr10"
"NOV: TOT CLR VHC THFT TO","vhct.clr11"
"DEC: TOT CLR VHC THFT TO","vhct.clr12"
"clr_arson1","arso.clr1"
"clr_arson2","arso.clr2"
"clr_arson3","arso.clr3"
"clr_arson4","arso.clr4"
"clr_arson5","arso.clr5"
"clr_arson6","arso.clr6"
"clr_arson7","arso.clr7"
"clr_arson8","arso.clr8"
"clr_arson9","arso.clr9"
"clr_arson10","arso.clr10"
"clr_arson11","arso.clr11"
"clr_arson12","arso.clr12"
